internship_id,company_name,role,domain,location,positions_available,stipend,duration_months,required_skills,preferred_skills,min_cgpa,preferred_branches,experience_required
INT119,TechVista Solutions,Cybersecurity Intern,Product Development,Mumbai,5,38000,2,"AWS, React, Pandas, Node.js","Django, Java",6.1,"Electrical Engineering, Civil Engineering",Not Required
INT120,Analytics Pro,Mobile App Developer Intern,Business Intelligence,Hyderabad,3,50000,6,"Node.js, Jenkins, SQL","C++, Docker",7.3,"Computer Science, Electronics and Communication",Preferred
INT121,MobileFirst Apps,ML Engineer Intern,Mobile Development,Pune,1,44000,2,"Angular, PostgreSQL, Redis, Flask","Jenkins, AWS",6.8,"Information Technology, Computer Science, Electrical Engineering",Not Required
INT122,WebCraft Digital,Data Science Intern,Web Development,Kolkata,4,46000,3,"Node.js, TensorFlow, PyTorch, PostgreSQL, SQL","Docker, NumPy",7.4,"Electrical Engineering, Computer Science",Not Required
INT123,Digital Dynamics,Data Science Intern,Digital Transformation,Delhi,4,39000,6,"PostgreSQL, React, REST APIs, Python, Node.js, Django","Docker, Data Analysis",7.0,"Information Technology, Mechanical Engineering, Civil Engineering",Not Required
INT124,TechCorp Solutions,ML Engineer Intern,Software Development,Bangalore,1,49000,6,"JavaScript, AWS, Angular, Kubernetes, Power BI","MongoDB, PostgreSQL, Python",6.6,"Computer Science, Electronics and Communication, Information Technology, Electrical Engineering",Preferred
INT125,PixelPerfect Studios,Data Science Intern,Frontend Development,Mumbai,3,11000,3,"Kubernetes, Django, Python, TensorFlow, Machine Learning","Git, SQL, Angular, HTML/CSS",6.8,"Mechanical Engineering, Computer Science, Information Technology",Preferred
INT126,Digital Dynamics,Backend Developer Intern,Digital Transformation,Kolkata,4,49000,3,"PostgreSQL, Python, Pandas","Jenkins, Machine Learning, Java, Vue.js",6.9,"Electrical Engineering, Electronics and Communication, Computer Science",Not Required
INT127,Digital Dynamics,Web Developer Intern,Digital Transformation,Chennai,3,10000,2,"PyTorch, Node.js, Docker, Power BI, Scikit-learn, Spring Boot","TensorFlow, Machine Learning, Jenkins, React",7.1,"Computer Science, Electrical Engineering, Information Technology, Civil Engineering",Not Required
INT128,WebCraft Digital,Data Science Intern,Web Development,Bangalore,1,22000,3,"Git, PyTorch, SQL","REST APIs, Python, JavaScript",7.8,"Computer Science, Electronics and Communication, Electrical Engineering, Mechanical Engineering",Not Required
INT129,NextGen Software,Frontend Developer Intern,Full Stack Development,Delhi,1,40000,6,"Scikit-learn, AWS, Kubernetes, JavaScript, PostgreSQL","TensorFlow, Java",7.3,"Civil Engineering, Electronics and Communication, Mechanical Engineering",Not Required
INT130,Digital Dynamics,Cloud Engineer Intern,Digital Transformation,Kolkata,2,50000,6,"Node.js, PyTorch, Kubernetes","Power BI, Java, AWS",7.5,"Computer Science, Electronics and Communication, Civil Engineering, Mechanical Engineering",Preferred
INT131,ByteStream Solutions,Cloud Engineer Intern,Backend Development,Gurugram,1,46000,2,"C++, Redis, Scikit-learn","Power BI, Flask, PostgreSQL",6.8,"Mechanical Engineering, Electrical Engineering, Civil Engineering, Information Technology",Preferred
INT132,CloudScale Tech,Frontend Developer Intern,Cloud Infrastructure,Bangalore,3,46000,3,"C++, AWS, Java","SQL, PyTorch, Node.js, Pandas",6.8,"Computer Science, Mechanical Engineering, Civil Engineering",Preferred
INT133,DataMinds Analytics,ML Engineer Intern,Data Science,Bangalore,2,45000,2,"Vue.js, Flask, MongoDB, Data Analysis, Docker","Node.js, NumPy, Jenkins, React",6.6,"Electrical Engineering, Information Technology",Not Required
INT134,SmartData Corp,Cybersecurity Intern,Data Analysis,Noida,2,44000,3,"Kubernetes, MongoDB, Flask, Vue.js, TensorFlow, AWS","NumPy, Node.js",7.2,"Information Technology, Electronics and Communication",Preferred
INT135,TechCorp Solutions,ML Engineer Intern,Software Development,Pune,1,49000,2,"Angular, Git, SQL, Vue.js, REST APIs, TensorFlow","Docker, Django, PostgreSQL",6.6,"Electrical Engineering, Mechanical Engineering",Not Required
INT136,Analytics Pro,Web Developer Intern,Business Intelligence,Chennai,4,32000,2,"REST APIs, JavaScript, Pandas, PostgreSQL","Docker, Kubernetes, AWS, Git",6.3,"Mechanical Engineering, Information Technology",Not Required
INT137,ByteStream Solutions,Web Developer Intern,Backend Development,Pune,1,34000,6,"Java, Scikit-learn, C++, Git","Machine Learning, Data Analysis, Django",7.6,"Electronics and Communication, Information Technology",Not Required
INT138,NextGen Software,Mobile App Developer Intern,Full Stack Development,Hyderabad,3,31000,2,"SQL, HTML/CSS, Node.js, Kubernetes, TensorFlow, Pandas","MongoDB, Machine Learning, Docker",6.9,"Electronics and Communication, Electrical Engineering, Civil Engineering",Not Required
INT139,WebCraft Digital,Mobile App Developer Intern,Web Development,Pune,2,27000,3,"JavaScript, C++, Docker, Django","Vue.js, Flask, HTML/CSS",8.0,"Mechanical Engineering, Electronics and Communication, Information Technology",Preferred
INT140,CloudNine Systems,Cybersecurity Intern,Cloud Computing,Gurugram,5,29000,2,"HTML/CSS, MongoDB, TensorFlow, C++, PyTorch","JavaScript, SQL, PostgreSQL",6.2,"Electronics and Communication, Mechanical Engineering, Information Technology",Preferred
INT141,NextGen Software,Backend Developer Intern,Full Stack Development,Bangalore,5,48000,6,"Node.js, Machine Learning, Docker, PostgreSQL, SQL, Django","Jenkins, Kubernetes",7.2,"Electronics and Communication, Civil Engineering, Computer Science",Not Required
INT142,TechCorp Solutions,Software Developer Intern,Software Development,Ahmedabad,3,17000,3,"Spring Boot, JavaScript, Kubernetes, TensorFlow, MongoDB","NumPy, Vue.js, SQL",7.8,"Computer Science, Electronics and Communication",Preferred
INT143,Analytics Pro,ML Engineer Intern,Business Intelligence,Pune,3,22000,2,"PostgreSQL, TensorFlow, JavaScript","Data Analysis, Git",8.0,"Electrical Engineering, Mechanical Engineering",Not Required
INT144,NextGen Software,ML Engineer Intern,Full Stack Development,Pune,2,13000,6,"Power BI, Machine Learning, Spring Boot","Python, Docker, Kubernetes",7.5,"Computer Science, Electrical Engineering, Mechanical Engineering",Preferred
INT145,CyberShield Corp,Cybersecurity Intern,Information Security,Kolkata,2,38000,3,"PyTorch, Kubernetes, React","Pandas, TensorFlow",7.2,"Electrical Engineering, Computer Science, Mechanical Engineering, Information Technology",Not Required
INT146,CloudNine Systems,Backend Developer Intern,Cloud Computing,Ahmedabad,1,32000,6,"C++, PyTorch, Node.js","Python, SQL, Kubernetes",8.0,"Mechanical Engineering, Computer Science",Not Required
INT147,PixelPerfect Studios,Software Developer Intern,Frontend Development,Bangalore,4,20000,6,"Kubernetes, Scikit-learn, TensorFlow, MongoDB, Spring Boot, React","SQL, Java",7.1,"Electronics and Communication, Civil Engineering",Not Required
INT148,AI Innovations Lab,Frontend Developer Intern,Artificial Intelligence,Mumbai,4,49000,3,"REST APIs, Power BI, Jenkins, Spring Boot, Redis, Docker","Machine Learning, Node.js, Java, PostgreSQL",6.1,"Electronics and Communication, Electrical Engineering",Not Required
INT149,NextGen Software,Software Developer Intern,Full Stack Development,Ahmedabad,2,41000,2,"Vue.js, Scikit-learn, Pandas, Power BI","JavaScript, Redis, Flask",7.2,"Civil Engineering, Electronics and Communication",Preferred
INT150,CyberShield Corp,Backend Developer Intern,Information Security,Ahmedabad,3,40000,6,"SQL, PyTorch, Redis, AWS, Vue.js, Scikit-learn","NumPy, Node.js, Spring Boot, Machine Learning",6.1,"Mechanical Engineering, Electrical Engineering, Civil Engineering",Preferred
